Date,City,Actual_PM25,Forecast_PM25
2023-02-19,Edmonton,5.958333333,10.564073063821636
2023-02-20,Edmonton,1.291666667,9.95705937344172
2023-02-21,Edmonton,2.958333333,10.165120839433506
2023-02-22,Edmonton,5.916666667,9.969703706709225
2023-02-23,Edmonton,3.583333333,10.326693326835008
2023-02-24,Edmonton,5.208333333,10.071020276834659
2023-02-25,Edmonton,9.375,11.408595166040975
2023-02-26,Edmonton,11.25,10.583806814603099
2023-02-27,Edmonton,6.916666667,9.976463057163416
2023-02-28,Edmonton,6.826086957,10.184805129270787
2023-03-01,Edmonton,14.08333333,9.989149439598737
2023-03-02,Edmonton,8.291666667,10.346341868626444
2023-03-03,Edmonton,2.041666667,10.090496400884001
2023-03-04,Edmonton,5.208333333,11.42821787082568
2023-03-05,Edmonton,4.25,10.603304903953072
2023-03-06,Edmonton,3.458333333,9.996067088174687
2023-03-07,Edmonton,4.916666667,10.20431909410686
2023-03-08,Edmonton,5.083333333,10.0087399740848
2023-03-09,Edmonton,4.583333333,10.365867307517169
2023-03-10,Edmonton,5.083333333,10.110077180716415
2023-03-11,Edmonton,4.791666667,11.447751602623432
2023-03-12,Edmonton,6.083333333,10.622878633580614
2023-03-13,Edmonton,7.083333333,10.015606813695594
2023-03-14,Edmonton,8.0,10.223887728177912
2023-03-15,Edmonton,14.0,10.0282840315869
2023-03-16,Edmonton,7.25,10.385432258759648
2023-03-17,Edmonton,5.375,10.12962436917077
2023-03-18,Edmonton,13.70833333,11.467313892090637
2023-03-19,Edmonton,15.125,10.64242808494
2023-03-20,Edmonton,30.34782609,10.035167179356819
2023-03-21,Edmonton,6.583333333,10.243438815058624
2023-03-22,Edmonton,16.79166667,10.047843006811643
2023-03-23,Edmonton,10.25,10.404984527718248
2023-03-24,Edmonton,7.458333333,10.149182339453423
2023-03-25,Edmonton,11.45833333,11.48686701539954
2023-03-26,Edmonton,5.125,10.661985328897778
2023-03-27,Edmonton,7.125,10.054720920149938
2023-03-28,Edmonton,5.875,10.262995534062945
2023-03-29,Edmonton,8.125,10.067397193893315
2023-03-30,Edmonton,9.708333333,10.4245408673109
2023-03-31,Edmonton,17.25,10.168736849091468
2023-04-01,Edmonton,32.25,11.506423080771281
2023-04-02,Edmonton,14.25,10.681540071664399
2023-04-03,Edmonton,5.5,10.074276787327705
2023-04-04,Edmonton,9.916666667,10.282550445323935
2023-04-05,Edmonton,10.875,10.086952917825796
2023-04-06,Edmonton,10.33333333,10.444095900351696
2023-04-07,Edmonton,5.0,10.188292469492994
2023-04-08,Edmonton,5.708333333,11.525978201828792
2023-04-09,Edmonton,2.916666667,10.701095617238622
2023-04-10,Edmonton,3.291666667,10.093831971999558
2023-04-11,Edmonton,4.5,10.3021059368165
2023-04-12,Edmonton,3.7,10.106508148475104
2023-04-13,Edmonton,4.291666667,10.463651352756584
2023-04-14,Edmonton,5.666666667,10.207847733372645
2023-04-15,Edmonton,6.166666667,11.545533625982944
2023-04-16,Edmonton,3.125,10.720650905135598
2023-04-17,Edmonton,2.875,10.113387375735407
2023-04-18,Edmonton,4.125,10.321661242072071
2023-04-19,Edmonton,3.952380952,10.126063537453563
2023-04-20,Edmonton,5.666666667,10.48320667055813
2023-04-21,Edmonton,5.166666667,10.227403111685158
2023-04-22,Edmonton,5.75,11.565088952852134
2023-04-23,Edmonton,4.875,10.740206275739268
2023-04-24,Edmonton,5.5,10.132942709158263
2023-04-25,Edmonton,4.875,10.341216607104153
2023-04-26,Edmonton,2.916666667,10.1456188756131
2023-04-27,Edmonton,2.291666667,10.502762031563329
2023-04-28,Edmonton,3.291666667,10.246958453268144
2023-04-29,Edmonton,4.041666667,11.584644310946889
2023-04-30,Edmonton,2.791666667,10.759761619796562
2023-05-01,Edmonton,5.791666667,10.152498065149487
2023-05-02,Edmonton,10.5,10.360771952949761
2023-05-03,Edmonton,8.583333333,10.165174230083993
2023-05-04,Edmonton,7.958333333,10.522317378701448
2023-05-05,Edmonton,4.791666667,10.266513806640214
2023-05-06,Edmonton,5.208333333,11.604199659019175
2023-05-07,Edmonton,4.416666667,10.779316972374453
2023-05-08,Edmonton,6.333333333,10.172053413896942
2023-05-09,Edmonton,7.541666667,10.380327304953656
2023-05-10,Edmonton,8.916666667,10.18472957931943
2023-05-11,Edmonton,8.125,10.541872730290487
2023-05-12,Edmonton,6.375,10.286069156228342
2023-05-13,Edmonton,7.625,11.623755010308376
2023-05-14,Edmonton,8.541666667,10.79887232221749
2023-05-15,Edmonton,6.227272727,10.191608764969434
2023-05-16,Edmonton,53.66666667,10.399882654980928
2023-05-17,Edmonton,100.7,10.204284930235293
2023-05-18,Edmonton,13.375,10.561428080450915
2023-05-19,Edmonton,104.1666667,10.305624507031002
2023-05-20,Edmonton,322.4166667,11.643310360565042
2023-05-21,Edmonton,258.3333333,10.81842767293833
2023-05-22,Edmonton,103.6666667,10.211164115295658
2023-05-23,Edmonton,22.58333333,10.419438005642636
2023-05-24,Edmonton,9.666666667,10.223840280611789
