City,Date,PM25_daily,Year,Month
Deschambault,2/15/2020,5.875,2020,2
Deschambault,2/16/2020,10,2020,2
Deschambault,2/17/2020,4,2020,2
Deschambault,2/18/2020,5.458333333,2020,2
Deschambault,2/19/2020,2.875,2020,2
Deschambault,2/20/2020,4.75,2020,2
Deschambault,2/21/2020,6.958333333,2020,2
Deschambault,2/22/2020,10.66666667,2020,2
Deschambault,2/23/2020,14.875,2020,2
Deschambault,2/24/2020,13.58333333,2020,2
Deschambault,2/25/2020,8.458333333,2020,2
Deschambault,2/26/2020,6.208333333,2020,2
Deschambault,2/27/2020,4.083333333,2020,2
Deschambault,2/28/2020,4.25,2020,2
Deschambault,2/29/2020,7.041666667,2020,2
Deschambault,3/1/2020,5.333333333,2020,3
Deschambault,3/2/2020,11,2020,3
Deschambault,3/3/2020,17.625,2020,3
Deschambault,3/4/2020,4.791666667,2020,3
Deschambault,3/5/2020,2.125,2020,3
Deschambault,3/6/2020,3.666666667,2020,3
Deschambault,3/7/2020,3,2020,3
Deschambault,3/8/2020,5.125,2020,3
Deschambault,3/9/2020,4.75,2020,3
Deschambault,3/10/2020,5.217391304,2020,3
Deschambault,3/11/2020,3.714285714,2020,3
Deschambault,3/12/2020,5.583333333,2020,3
Deschambault,3/13/2020,3.541666667,2020,3
Deschambault,3/14/2020,2,2020,3
Deschambault,3/15/2020,1.708333333,2020,3
Deschambault,3/16/2020,4.333333333,2020,3
Deschambault,3/17/2020,4.958333333,2020,3
Deschambault,3/18/2020,3.666666667,2020,3
Deschambault,3/19/2020,7.541666667,2020,3
Deschambault,3/20/2020,3.75,2020,3
Deschambault,3/21/2020,3.041666667,2020,3
Deschambault,3/22/2020,3.708333333,2020,3
Deschambault,3/23/2020,7,2020,3
Deschambault,3/24/2020,8,2020,3
Deschambault,3/25/2020,9.208333333,2020,3
Deschambault,3/26/2020,7.791666667,2020,3
Deschambault,3/27/2020,1.958333333,2020,3
Deschambault,3/28/2020,2.791666667,2020,3
Deschambault,3/29/2020,5.260869565,2020,3
Deschambault,3/30/2020,2.583333333,2020,3
Deschambault,3/31/2020,4.041666667,2020,3
Deschambault,4/1/2020,3.25,2020,4
Deschambault,4/2/2020,5.333333333,2020,4
Deschambault,4/3/2020,4.25,2020,4
Deschambault,4/4/2020,4.916666667,2020,4
Deschambault,4/5/2020,6.458333333,2020,4
Deschambault,4/6/2020,2.416666667,2020,4
Deschambault,4/7/2020,1.541666667,2020,4
Deschambault,4/8/2020,3.666666667,2020,4
Deschambault,4/9/2020,3.458333333,2020,4
Deschambault,4/10/2020,1.791666667,2020,4
Deschambault,4/11/2020,1.125,2020,4
Deschambault,4/12/2020,6.083333333,2020,4
Deschambault,4/13/2020,5.583333333,2020,4
Deschambault,4/14/2020,1.958333333,2020,4
Deschambault,4/15/2020,3.375,2020,4
Deschambault,4/16/2020,3.666666667,2020,4
Deschambault,4/17/2020,4.375,2020,4
Deschambault,4/18/2020,6.291666667,2020,4
Deschambault,4/19/2020,8.083333333,2020,4
Deschambault,4/20/2020,3.916666667,2020,4
Deschambault,4/21/2020,4.041666667,2020,4
Deschambault,4/22/2020,2.875,2020,4
Deschambault,4/23/2020,3.5,2020,4
Deschambault,4/24/2020,3.625,2020,4
Deschambault,4/25/2020,4.333333333,2020,4
Deschambault,4/26/2020,3.75,2020,4
Deschambault,4/27/2020,4.041666667,2020,4
Deschambault,4/28/2020,4,2020,4
Deschambault,4/29/2020,4.333333333,2020,4
Deschambault,4/30/2020,4.666666667,2020,4
Deschambault,5/1/2020,2.875,2020,5
Deschambault,5/2/2020,4.083333333,2020,5
Deschambault,5/3/2020,6.791666667,2020,5
Deschambault,5/4/2020,3.291666667,2020,5
Deschambault,5/5/2020,2.25,2020,5
Deschambault,5/6/2020,3.083333333,2020,5
Deschambault,5/7/2020,3.583333333,2020,5
Deschambault,5/8/2020,2.583333333,2020,5
Deschambault,5/9/2020,1.458333333,2020,5
Deschambault,5/10/2020,1.333333333,2020,5
Deschambault,5/11/2020,1.291666667,2020,5
Deschambault,5/12/2020,3.083333333,2020,5
Deschambault,5/13/2020,3.333333333,2020,5
Deschambault,5/14/2020,4.916666667,2020,5
Deschambault,5/15/2020,6.208333333,2020,5
Deschambault,5/16/2020,5.833333333,2020,5
Deschambault,5/17/2020,3.75,2020,5
Deschambault,5/18/2020,3,2020,5
Deschambault,5/19/2020,3.333333333,2020,5
Deschambault,5/20/2020,3.875,2020,5
Deschambault,5/21/2020,7.25,2020,5
Deschambault,5/22/2020,5.916666667,2020,5
Deschambault,5/23/2020,3.208333333,2020,5
Deschambault,5/24/2020,4.25,2020,5
Deschambault,5/25/2020,7.125,2020,5
Deschambault,5/26/2020,11.08333333,2020,5
Deschambault,5/27/2020,12.79166667,2020,5
Deschambault,5/28/2020,11.16666667,2020,5
Deschambault,5/29/2020,5.25,2020,5
Deschambault,5/30/2020,2.25,2020,5
Deschambault,5/31/2020,0.958333333,2020,5
Deschambault,6/1/2020,1.541666667,2020,6
Deschambault,6/2/2020,3.416666667,2020,6
Deschambault,6/3/2020,5.5,2020,6
Deschambault,6/4/2020,4.583333333,2020,6
Deschambault,6/5/2020,4.791666667,2020,6
Deschambault,6/6/2020,4.958333333,2020,6
Deschambault,6/7/2020,2.666666667,2020,6
Deschambault,6/8/2020,2.333333333,2020,6
Deschambault,6/9/2020,2.833333333,2020,6
Deschambault,6/10/2020,4.875,2020,6
Deschambault,6/11/2020,5.111111111,2020,6
Deschambault,6/12/2020,3.541666667,2020,6
Deschambault,6/13/2020,1.333333333,2020,6
Deschambault,6/14/2020,3.25,2020,6
Deschambault,6/15/2020,4.875,2020,6
Deschambault,6/16/2020,6,2020,6
Deschambault,6/17/2020,8.125,2020,6
