File generated on // Fichier créé sur, 2025-02-14

Pollutant // Polluant:, PM2.5
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-04,2,2,4,6,6,5,5,6,6,4,3,10,7,6,4,4,2,1,3,4,2,1,1,1
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-05,0,0,0,1,1,2,2,2,2,3,6,7,6,6,5,4,5,5,5,5,5,4,3,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-06,4,5,4,5,4,3,3,3,4,4,3,5,5,6,5,4,6,7,6,5,4,4,5,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-07,2,2,4,4,3,3,4,2,2,3,3,4,5,6,6,5,7,8,7,7,12,8,7,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-08,6,12,9,6,5,6,8,7,6,7,8,6,6,6,6,6,6,7,6,8,16,15,10,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-09,10,9,8,7,7,8,9,10,16,16,13,8,9,9,9,9,9,9,9,11,15,14,11,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-10,13,14,13,14,14,13,16,11,10,9,7,6,5,5,6,5,5,5,7,11,13,15,16,17
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-11,18,18,21,20,10,6,8,10,10,12,12,11,9,9,9,9,10,10,9,15,22,27,27,25
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-12,22,22,21,18,17,17,20,19,15,11,14,11,9,10,10,8,7,8,9,14,19,17,16,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-13,11,17,14,15,14,12,13,16,10,8,8,7,8,11,13,13,12,12,12,11,8,11,12,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-14,10,9,10,12,12,13,10,10,11,13,16,14,15,15,11,11,8,7,11,9,4,2,2,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-15,3,5,10,20,15,13,14,14,10,7,8,11,11,10,9,10,11,13,15,12,10,12,14,18
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-16,20,21,17,18,15,10,11,11,9,9,8,10,11,11,11,14,6,7,6,5,4,5,4,3
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-17,2,2,1,1,1,1,1,2,2,3,3,3,1,2,2,1,0,1,0,0,1,0,0,0
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-18,0,0,0,0,1,1,0,0,1,1,2,3,3,3,3,4,6,6,6,6,9,7,6,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2022-05-19,7,9,6,7,9,13,9,7,7,7,5,5,4,3,2,3,4,5,7,6,5,4,6,9
